Player,Pos,Squad,Comp,Age,MP,Starts,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Ast_stats_passing,xAG_stats_passing,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,FK_stats_passing_types,Cmp_stats_passing_types,Blocks,PassLive,PassDead,Tkl,TklW,Tkl%,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Tkld,Tkld%,Int_stats_misc,TklW_stats_misc
Max Aarons,DF,Bournemouth,eng Premier League,24.0,3,1,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,0,0.0,8,1,eng ENG,DF,eng Premier League,24.0,2000.0,1.0,63,2,50,1,2,0,2,2,100.0,3,2,1,3,0,1,50.0,1,2
Max Aarons,"DF,MF",Valencia,es La Liga,24.0,4,1,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,0,0.0,6,2,eng ENG,"DF,MF",es La Liga,24.0,2000.0,1.3,66,1,47,1,1,0,4,4,80.0,1,1,0,4,3,2,50.0,0,4
Rodrigo Abajas,DF,Valencia,es La Liga,21.0,1,1,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,0,0.0,2,3,es ESP,DF,es La Liga,21.0,2003.0,0.7,29,0,17,2,0,0,3,2,100.0,1,1,1,4,0,0,0.0,1,2
James Abankwah,"DF,MF",Udinese,it Serie A,20.0,6,0,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,0,0.0,4,4,ie IRL,"DF,MF",it Serie A,20.0,2004.0,1.0,46,1,36,0,1,0,4,2,66.7,2,1,1,5,3,0,,1,2
Yunis Abdelhamid,DF,Saint-Étienne,fr Ligue 1,36.0,16,11,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,0,0.1,22,6,ma MAR,DF,fr Ligue 1,36.0,1987.0,11.5,505,20,438,1,5,1,17,11,62.5,26,8,14,31,57,4,57.1,14,11
Mohamed Abdelmoneim,DF,Nice,fr Ligue 1,25.0,12,10,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,0,0.0,52,8,eg EGY,DF,fr Ligue 1,25.0,1999.0,9.5,521,21,471,2,8,0,21,14,59.1,11,6,15,36,56,2,50.0,15,14
Ali Abdi,"DF,MF",Nice,fr Ligue 1,30.0,25,17,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,2,1.9,42,9,tn TUN,"DF,MF",fr Ligue 1,30.0,1993.0,15.5,678,12,502,22,33,3,43,25,65.1,20,14,20,63,37,16,55.2,20,25
Saud Abdulhamid,DF,Roma,it Serie A,25.0,4,2,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,1,0.2,9,10,sa KSA,DF,it Serie A,25.0,1999.0,2.3,136,1,118,3,5,0,3,2,100.0,2,2,2,5,0,2,25.0,2,2
Abel,DF,Osasuna,es La Liga,23.0,35,20,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,0,1.0,77,11,es ESP,DF,es La Liga,23.0,2000.0,23.0,1071,14,776,47,29,2,61,37,61.9,29,25,18,79,64,13,37.1,18,37
Abner,DF,Lyon,fr Ligue 1,24.0,19,12,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,1,1.1,66,15,br BRA,DF,fr Ligue 1,24.0,2000.0,12.1,675,9,568,19,21,3,29,20,65.6,15,13,5,34,41,6,50.0,5,20
Abdel Abqar,DF,Alavés,es La Liga,25.0,29,29,17,ma MAR,DF,es La Liga,25.0,1999.0,27.4,1,0.3,79,17,ma MAR,DF,es La Liga,25.0,1999.0,27.4,939,40,719,6,20,0,36,23,58.8,28,10,39,75,146,1,25.0,39,23
Francesco Acerbi,DF,Inter,it Serie A,36.0,23,20,21,it ITA,DF,it Serie A,36.0,1988.0,19.0,1,0.6,62,21,it ITA,DF,it Serie A,36.0,1988.0,19.0,1297,24,1200,5,20,0,23,19,64.7,22,6,26,49,81,1,25.0,26,19
Joshua Acheampong,DF,Chelsea,eng Premier League,18.0,4,2,22,eng ENG,DF,eng Premier League,18.0,2006.0,1.9,0,0.0,8,22,eng ENG,DF,eng Premier League,18.0,2006.0,1.9,124,2,104,2,2,0,2,1,100.0,1,1,1,3,2,0,0.0,1,1
Tosin Adarabioyo,DF,Chelsea,eng Premier League,26.0,22,15,28,eng ENG,DF,eng Premier League,26.0,1997.0,15.7,1,0.2,42,28,eng ENG,DF,eng Premier League,26.0,1997.0,15.7,1184,23,1079,3,8,0,17,13,66.7,9,2,11,28,80,1,16.7,11,13
Adryelson,DF,Lyon,fr Ligue 1,26.0,1,0,35,br BRA,DF,fr Ligue 1,26.0,1998.0,0.0,0,0.0,1,35,br BRA,DF,fr Ligue 1,26.0,1998.0,0.0,3,0,1,0,0,0,0,0,,0,0,1,1,1,0,,1,0
Emmanuel Agbadou,DF,Wolves,eng Premier League,27.0,16,16,39,ci CIV,DF,eng Premier League,27.0,1997.0,15.7,0,0.2,31,39,ci CIV,DF,eng Premier League,27.0,1997.0,15.7,1001,28,855,5,15,2,30,19,65.0,19,6,12,42,90,2,15.4,12,19
Emmanuel Agbadou,DF,Reims,fr Ligue 1,27.0,14,14,40,ci CIV,DF,fr Ligue 1,27.0,1997.0,14.0,0,0.3,77,40,ci CIV,DF,fr Ligue 1,27.0,1997.0,14.0,922,37,810,4,19,0,25,17,73.1,22,9,19,44,64,3,25.0,19,17
Felix Agu,DF,Werder Bremen,de Bundesliga,24.0,22,21,45,ng NGA,DF,de Bundesliga,24.0,1999.0,19.5,0,1.8,43,45,ng NGA,DF,de Bundesliga,24.0,1999.0,19.5,822,6,655,26,30,1,30,14,52.2,27,18,21,51,48,19,54.3,21,14
Lorenzo Aguado,DF,Real Madrid,es La Liga,21.0,2,0,47,es ESP,DF,es La Liga,21.0,2002.0,0.1,0,0.0,0,47,es ESP,DF,es La Liga,21.0,2002.0,0.1,1,0,1,0,0,0,0,0,,0,0,0,0,2,0,,0,0
Nayef Aguerd,DF,Real Sociedad,es La Liga,28.0,21,21,48,ma MAR,DF,es La Liga,28.0,1996.0,19.6,0,0.1,75,48,ma MAR,DF,es La Liga,28.0,1996.0,19.6,1389,38,1213,10,13,1,30,24,66.7,21,6,13,43,91,2,20.0,13,24
Ruben Aguilar,"DF,MF",Lens,fr Ligue 1,31.0,16,13,49,fr FRA,"DF,MF",fr Ligue 1,31.0,1993.0,12.5,2,1.9,74,49,fr FRA,"DF,MF",fr Ligue 1,31.0,1993.0,12.5,843,10,677,29,24,0,34,18,61.5,25,22,13,47,23,9,42.9,13,18
Honest Ahanor,"DF,MF",Genoa,it Serie A,16.0,6,3,51,it ITA,"DF,MF",it Serie A,16.0,2008.0,3.0,0,0.1,3,51,it ITA,"DF,MF",it Serie A,16.0,2008.0,3.0,76,1,51,3,3,0,7,5,70.0,4,4,1,8,9,0,0.0,1,5
Joseph Aidoo,DF,Valladolid,es La Liga,28.0,8,6,54,gh GHA,DF,es La Liga,28.0,1995.0,6.5,0,0.0,14,54,gh GHA,DF,es La Liga,28.0,1995.0,6.5,378,9,337,3,1,0,5,5,66.7,8,4,5,10,26,0,0.0,5,5
Joseph Aidoo,DF,Celta Vigo,es La Liga,28.0,1,0,55,gh GHA,DF,es La Liga,28.0,1995.0,0.0,0,0.0,1,55,gh GHA,DF,es La Liga,28.0,1995.0,0.0,7,0,6,1,0,0,1,0,,0,0,0,1,0,0,,0,0
Ola Aina,DF,Nott'ham Forest,eng Premier League,27.0,35,35,57,ng NGA,DF,eng Premier League,27.0,1996.0,33.3,1,1.4,107,57,ng NGA,DF,eng Premier League,27.0,1996.0,33.3,1352,15,994,46,49,5,55,42,56.3,34,22,33,88,115,27,37.5,33,42
Rayan Aït-Nouri,DF,Wolves,eng Premier League,23.0,37,37,58,dz ALG,DF,eng Premier League,23.0,2001.0,34.5,7,5.5,108,58,dz ALG,DF,eng Premier League,23.0,2001.0,34.5,1721,44,1449,42,56,15,89,57,61.4,42,36,26,115,75,56,40.9,26,57
Kristoffer Ajer,DF,Brentford,eng Premier League,26.0,24,17,60,no NOR,DF,eng Premier League,26.0,1998.0,16.0,0,1.2,56,60,no NOR,DF,eng Premier League,26.0,1998.0,16.0,644,2,504,18,15,0,26,18,51.9,17,13,12,38,50,8,50.0,12,18
Manuel Akanji,DF,Manchester City,eng Premier League,29.0,26,23,62,ch SUI,DF,eng Premier League,29.0,1995.0,22.4,0,0.4,158,62,ch SUI,DF,eng Premier League,29.0,1995.0,22.4,1744,18,1632,6,37,0,19,12,64.7,11,3,9,28,64,0,0.0,9,12
Ümit Akdag,DF,Toulouse,fr Ligue 1,20.0,9,6,63,ro ROU,DF,fr Ligue 1,20.0,2003.0,5.6,0,0.1,29,63,ro ROU,DF,fr Ligue 1,20.0,2003.0,5.6,348,8,274,9,5,0,8,4,41.7,10,2,11,19,19,0,0.0,11,4
Nathan Aké,DF,Manchester City,eng Premier League,29.0,10,8,64,nl NED,DF,eng Premier League,29.0,1995.0,7.5,0,0.0,50,64,nl NED,DF,eng Premier League,29.0,1995.0,7.5,542,13,509,3,8,0,9,7,66.7,7,5,3,12,22,0,0.0,3,7
Sergio Akieme,DF,Reims,fr Ligue 1,26.0,30,29,66,es ESP,DF,fr Ligue 1,26.0,1997.0,28.0,3,2.5,86,66,es ESP,DF,fr Ligue 1,26.0,1997.0,28.0,1147,25,929,19,29,4,34,23,61.1,26,17,17,51,97,17,54.8,17,23
Clément Akpa,DF,Auxerre,fr Ligue 1,22.0,31,29,69,ci CIV,DF,fr Ligue 1,22.0,2001.0,27.6,1,0.9,74,69,ci CIV,DF,fr Ligue 1,22.0,2001.0,27.6,1209,56,998,20,15,3,55,34,67.4,38,24,42,97,141,11,47.8,42,34
Kevin Akpoguma,DF,Hoffenheim,de Bundesliga,29.0,32,23,72,ng NGA,DF,de Bundesliga,29.0,1995.0,24.7,0,0.3,98,72,ng NGA,DF,de Bundesliga,29.0,1995.0,24.7,1369,43,1193,10,25,1,54,27,65.2,65,28,29,83,115,6,40.0,29,27
David Alaba,DF,Real Madrid,es La Liga,32.0,7,4,74,at AUT,DF,es La Liga,32.0,1992.0,3.5,0,0.1,7,74,at AUT,DF,es La Liga,32.0,1992.0,3.5,228,4,206,2,2,0,1,0,,5,0,6,7,7,0,,6,0
Raúl Albiol,DF,Villarreal,es La Liga,38.0,15,14,77,es ESP,DF,es La Liga,38.0,1985.0,13.2,0,0.0,34,77,es ESP,DF,es La Liga,38.0,1985.0,13.2,813,25,727,3,4,0,10,9,60.0,10,1,6,16,69,0,,6,9
Omar Alderete,DF,Getafe,es La Liga,27.0,34,34,80,py PAR,DF,es La Liga,27.0,1996.0,33.0,0,0.9,112,80,py PAR,DF,es La Liga,27.0,1996.0,33.0,1106,61,724,14,28,1,43,29,66.7,38,16,40,83,241,10,35.7,40,29
Trent Alexander-Arnold,DF,Liverpool,eng Premier League,25.0,33,28,84,eng ENG,DF,eng Premier League,25.0,1998.0,26.3,6,7.3,232,84,eng ENG,DF,eng Premier League,25.0,1998.0,26.3,1971,63,1448,36,74,15,72,50,46.7,26,17,31,103,55,17,45.9,31,50
Iker Almena,"FW,DF",Girona,es La Liga,20.0,2,0,94,es ESP,"FW,DF",es La Liga,20.0,2004.0,0.5,1,0.7,2,94,es ESP,"FW,DF",es La Liga,20.0,2004.0,0.5,32,0,23,2,2,0,0,0,0.0,1,1,0,0,2,1,33.3,0,0
Marcos Alonso,DF,Celta Vigo,es La Liga,33.0,31,29,97,es ESP,DF,es La Liga,33.0,1990.0,29.4,0,1.3,215,97,es ESP,DF,es La Liga,33.0,1990.0,29.4,2397,81,2139,24,38,3,35,21,56.8,22,15,34,69,126,8,32.0,34,21
Giorgio Altare,DF,Venezia,it Serie A,25.0,12,8,98,it ITA,DF,it Serie A,25.0,1998.0,8.4,0,0.1,20,98,it ITA,DF,it Serie A,25.0,1998.0,8.4,389,13,283,2,3,0,13,12,53.3,21,10,17,30,49,1,16.7,17,12
Adrià Altimira,"DF,FW",Leganés,es La Liga,23.0,22,19,99,es ESP,"DF,FW",es La Liga,23.0,2001.0,18.1,0,0.5,42,99,es ESP,"DF,FW",es La Liga,23.0,2001.0,18.1,615,4,483,11,14,1,41,24,60.0,15,9,15,56,54,12,38.7,15,24
Olabade Aluko,DF,Leicester City,eng Premier League,,1,0,101,,DF,eng Premier League,,,0.0,0,0.0,0,101,,DF,eng Premier League,,,0.0,5,1,3,0,0,0,1,1,100.0,0,0,0,1,0,1,100.0,0,1
Hugo Álvarez,"MF,DF",Celta Vigo,es La Liga,21.0,26,16,103,es ESP,"MF,DF",es La Liga,21.0,2003.0,17.5,3,1.1,60,103,es ESP,"MF,DF",es La Liga,21.0,2003.0,17.5,1013,16,799,33,38,0,26,9,52.6,19,17,8,34,29,38,52.8,8,9
Yeray Álvarez,DF,Athletic Club,es La Liga,29.0,21,20,105,es ESP,DF,es La Liga,29.0,1995.0,19.8,0,0.2,105,105,es ESP,DF,es La Liga,29.0,1995.0,19.8,1182,40,994,13,15,0,25,13,68.2,10,4,34,59,129,3,33.3,34,13
Harry Amass,DF,Manchester Utd,eng Premier League,17.0,5,4,109,eng ENG,DF,eng Premier League,17.0,2007.0,3.8,0,0.0,7,109,eng ENG,DF,eng Premier League,17.0,2007.0,3.8,181,2,149,3,7,0,6,2,25.0,11,10,2,8,11,4,50.0,2,2
Amath,"FW,DF",Valladolid,es La Liga,28.0,13,5,110,sn SEN,"FW,DF",es La Liga,28.0,1996.0,4.2,1,0.5,12,110,sn SEN,"FW,DF",es La Liga,28.0,1996.0,4.2,112,1,86,7,10,0,2,0,12.5,7,6,2,4,6,9,56.3,2,0
Jordan Amavi,DF,Brest,fr Ligue 1,30.0,11,8,111,fr FRA,DF,fr Ligue 1,30.0,1994.0,8.8,0,0.2,36,111,fr FRA,DF,fr Ligue 1,30.0,1994.0,8.8,526,9,386,13,13,0,24,17,71.4,10,8,7,31,18,6,46.2,7,17
Aurele Amenda,DF,Eint Frankfurt,de Bundesliga,21.0,8,1,112,ch SUI,DF,de Bundesliga,21.0,2003.0,1.1,0,0.3,2,112,ch SUI,DF,de Bundesliga,21.0,2003.0,1.1,69,1,58,2,2,0,1,0,,2,0,2,3,11,0,0.0,2,0
Kelvin Amian,DF,Nantes,fr Ligue 1,26.0,30,23,113,fr FRA,DF,fr Ligue 1,26.0,1998.0,24.1,0,0.8,73,113,fr FRA,DF,fr Ligue 1,26.0,1998.0,24.1,921,14,738,24,26,7,55,31,82.9,18,7,13,68,85,8,36.4,13,31
Michael Amir Murillo,DF,Marseille,fr Ligue 1,28.0,30,27,114,pa PAN,DF,fr Ligue 1,28.0,1996.0,27.1,3,3.3,140,114,pa PAN,DF,fr Ligue 1,28.0,1996.0,27.1,1902,44,1665,32,39,2,49,31,69.6,21,13,18,67,70,13,48.1,18,31
Samuel Amo-Ameyaw,"FW,DF",Southampton,eng Premier League,18.0,2,0,116,eng ENG,"FW,DF",eng Premier League,18.0,2006.0,0.3,0,0.1,0,116,eng ENG,"FW,DF",eng Premier League,18.0,2006.0,0.3,9,0,8,0,1,0,1,0,100.0,0,0,0,1,0,3,75.0,0,0
Samuel Amo-Ameyaw,"DF,MF",Strasbourg,fr Ligue 1,18.0,9,3,117,eng ENG,"DF,MF",fr Ligue 1,18.0,2006.0,3.6,0,0.6,12,117,eng ENG,"DF,MF",fr Ligue 1,18.0,2006.0,3.6,123,1,106,3,9,1,5,3,22.2,3,3,3,8,2,4,33.3,3,3
Joachim Andersen,DF,Crystal Palace,eng Premier League,28.0,1,1,122,dk DEN,DF,eng Premier League,28.0,1996.0,1.0,0,0.0,4,122,dk DEN,DF,eng Premier League,28.0,1996.0,1.0,83,1,61,0,1,0,1,1,50.0,0,0,0,1,7,0,,0,1
Joachim Andersen,DF,Fulham,eng Premier League,28.0,29,29,123,dk DEN,DF,eng Premier League,28.0,1996.0,28.7,0,0.5,112,123,dk DEN,DF,eng Premier League,28.0,1996.0,28.7,2000,81,1654,8,27,1,27,18,62.5,37,9,34,61,188,0,0.0,34,18
Robert Andrich,"MF,DF",Leverkusen,de Bundesliga,29.0,23,19,128,de GER,"MF,DF",de Bundesliga,29.0,1994.0,17.8,2,0.3,65,128,de GER,"MF,DF",de Bundesliga,29.0,1994.0,17.8,978,15,865,6,25,0,24,12,50.0,16,8,29,53,23,1,20.0,29,12
Angeliño,DF,Roma,it Serie A,27.0,38,36,129,es ESP,DF,it Serie A,27.0,1997.0,35.3,1,3.7,172,129,es ESP,DF,it Serie A,27.0,1997.0,35.3,1969,49,1544,25,68,14,46,24,50.0,33,24,28,74,98,11,40.7,28,24
Waldemar Anton,DF,Dortmund,de Bundesliga,28.0,26,22,132,de GER,DF,de Bundesliga,28.0,1996.0,21.7,2,0.8,117,132,de GER,DF,de Bundesliga,28.0,1996.0,21.7,1841,33,1664,18,32,0,34,21,73.9,33,17,30,64,112,2,8.3,30,21
Kyllian Antonio,"DF,MF",Lens,fr Ligue 1,16.0,3,2,134,fr FRA,"DF,MF",fr Ligue 1,16.0,2008.0,1.5,0,0.0,0,134,fr FRA,"DF,MF",fr Ligue 1,16.0,2008.0,1.5,97,2,81,4,1,0,3,2,33.3,3,3,3,6,3,0,0.0,3,2
Antony,"DF,MF",Manchester Utd,eng Premier League,24.0,8,0,137,br BRA,"DF,MF",eng Premier League,24.0,2000.0,1.6,0,0.1,6,137,br BRA,"DF,MF",eng Premier League,24.0,2000.0,1.6,69,2,56,1,6,0,6,3,40.0,2,2,2,8,0,6,54.5,2,3
Dennis Appiah,DF,Saint-Étienne,fr Ligue 1,32.0,29,22,140,fr FRA,DF,fr Ligue 1,32.0,1992.0,23.6,1,2.1,108,140,fr FRA,DF,fr Ligue 1,32.0,1992.0,23.6,1179,16,903,43,32,3,71,43,57.7,36,28,29,100,89,22,51.2,29,43
Aritz Arambarri,DF,Leganés,es La Liga,26.0,2,2,141,es ESP,DF,es La Liga,26.0,1998.0,2.0,0,0.0,2,141,es ESP,DF,es La Liga,26.0,1998.0,2.0,67,2,49,1,1,0,1,1,100.0,2,0,3,4,8,0,,3,1
Jon Aramburu,DF,Real Sociedad,es La Liga,22.0,35,28,143,ve VEN,DF,es La Liga,22.0,2002.0,27.3,1,1.1,97,143,ve VEN,DF,es La Liga,22.0,2002.0,27.3,1518,37,1190,37,26,3,102,70,66.0,40,32,30,132,98,26,70.3,30,70
Julian Araujo,DF,Bournemouth,eng Premier League,22.0,12,7,144,mx MEX,DF,eng Premier League,22.0,2001.0,5.5,0,0.1,14,144,mx MEX,DF,eng Premier League,22.0,2001.0,5.5,225,2,178,2,5,0,10,5,41.7,3,3,6,16,18,1,100.0,6,5
Ronald Araújo,DF,Barcelona,es La Liga,25.0,12,11,145,uy URU,DF,es La Liga,25.0,1999.0,8.4,1,0.4,49,145,uy URU,DF,es La Liga,25.0,1999.0,8.4,725,20,666,0,11,0,12,9,80.0,6,2,9,21,25,1,100.0,9,9
Carlens Arcus,DF,Angers,fr Ligue 1,28.0,28,25,147,ht HAI,DF,fr Ligue 1,28.0,1996.0,22.7,1,1.4,70,147,ht HAI,DF,fr Ligue 1,28.0,1996.0,22.7,1020,20,810,20,32,1,52,35,60.7,24,20,27,79,83,9,50.0,27,35
Jesús Areso,DF,Osasuna,es La Liga,25.0,36,35,150,es ESP,DF,es La Liga,25.0,1999.0,34.2,3,3.5,106,150,es ESP,DF,es La Liga,25.0,1999.0,34.2,1573,3,1139,63,55,12,53,38,69.6,26,22,8,61,92,32,50.0,8,38
Joe Aribo,"MF,DF",Southampton,eng Premier League,28.0,32,21,152,ng NGA,"MF,DF",eng Premier League,28.0,1996.0,22.4,0,1.6,75,152,ng NGA,"MF,DF",eng Premier League,28.0,1996.0,22.4,1046,4,929,15,32,0,47,33,48.6,28,17,20,67,32,22,44.9,20,33
Sergio Arribas,DF,Betis,es La Liga,21.0,1,1,160,es ESP,DF,es La Liga,21.0,2003.0,1.0,0,0.0,1,160,es ESP,DF,es La Liga,21.0,2003.0,1.0,54,1,37,2,0,0,7,4,85.7,2,0,3,10,4,0,,3,4
Arthur,DF,Leverkusen,de Bundesliga,21.0,20,7,162,br BRA,DF,de Bundesliga,21.0,2003.0,8.4,1,0.4,25,162,br BRA,DF,de Bundesliga,21.0,2003.0,8.4,388,1,306,13,7,0,14,11,50.0,8,8,9,23,29,19,79.2,9,11
Raúl Asencio,DF,Real Madrid,es La Liga,21.0,23,18,164,es ESP,DF,es La Liga,21.0,2003.0,18.6,1,0.6,27,164,es ESP,DF,es La Liga,21.0,2003.0,18.6,988,33,927,2,11,0,22,16,76.9,11,5,16,38,88,0,0.0,16,16
Lorenz Assignon,"DF,MF",Rennes,fr Ligue 1,24.0,32,27,170,tg TOG,"DF,MF",fr Ligue 1,24.0,2000.0,26.2,4,3.5,116,170,tg TOG,"DF,MF",fr Ligue 1,24.0,2000.0,26.2,1301,15,1015,38,52,7,49,27,44.2,20,17,25,74,74,47,61.0,25,27
Tommaso Augello,DF,Cagliari,it Serie A,29.0,38,30,176,it ITA,DF,it Serie A,29.0,1994.0,30.1,7,4.6,118,176,it ITA,DF,it Serie A,29.0,1994.0,30.1,1640,48,1179,50,48,21,49,28,69.8,23,15,16,65,109,18,41.9,16,28
Carlos Augusto,DF,Inter,it Serie A,25.0,28,15,177,br BRA,DF,it Serie A,25.0,1999.0,18.1,2,1.6,80,177,br BRA,DF,it Serie A,25.0,1999.0,18.1,1227,22,1083,19,18,1,29,14,63.2,21,12,9,38,50,5,41.7,9,14
Yann Aurel Bisseck,DF,Inter,it Serie A,23.0,26,16,178,de GER,DF,it Serie A,23.0,2000.0,17.3,2,0.9,93,178,de GER,DF,it Serie A,23.0,2000.0,17.3,1284,20,1179,16,16,0,17,11,68.8,23,11,17,34,64,10,66.7,17,11
Adam Aznou,DF,Valladolid,es La Liga,18.0,13,10,189,ma MAR,DF,es La Liga,18.0,2006.0,9.7,0,0.3,25,189,ma MAR,DF,es La Liga,18.0,2006.0,9.7,343,9,245,12,11,3,28,21,48.8,24,16,10,38,30,15,36.6,10,21
Adam Aznou,DF,Bayern Munich,de Bundesliga,18.0,2,0,190,ma MAR,DF,de Bundesliga,18.0,2006.0,0.2,0,0.0,1,190,ma MAR,DF,de Bundesliga,18.0,2006.0,0.2,17,0,13,0,0,0,0,0,,0,0,0,0,1,0,,0,0
César Azpilicueta,DF,Atlético Madrid,es La Liga,34.0,14,10,191,es ESP,DF,es La Liga,34.0,1989.0,9.7,0,0.1,66,191,es ESP,DF,es La Liga,34.0,1989.0,9.7,671,8,581,4,5,2,25,14,73.9,10,8,5,30,32,1,50.0,5,14
Paulo Azzi,DF,Cagliari,it Serie A,30.0,6,5,192,br BRA,DF,it Serie A,30.0,1994.0,4.7,0,0.9,13,192,br BRA,DF,it Serie A,30.0,1994.0,4.7,180,1,126,4,9,2,11,9,55.6,5,3,5,16,11,4,30.8,5,9
Loïc Bade,DF,Sevilla,es La Liga,24.0,32,31,198,fr FRA,DF,es La Liga,24.0,2000.0,29.8,1,0.7,62,198,fr FRA,DF,es La Liga,24.0,2000.0,29.8,1822,48,1562,9,20,0,47,27,74.2,22,9,29,76,162,2,9.1,29,27
Benoît Badiashile,DF,Chelsea,eng Premier League,23.0,5,3,200,fr FRA,DF,eng Premier League,23.0,2001.0,3.7,0,0.0,17,200,fr FRA,DF,eng Premier League,23.0,2001.0,3.7,304,5,273,0,0,0,9,6,80.0,2,0,6,15,12,1,100.0,6,6
Juma Bah,DF,Valladolid,es La Liga,18.0,12,10,202,sl SLE,DF,es La Liga,18.0,2006.0,9.6,0,0.0,13,202,sl SLE,DF,es La Liga,18.0,2006.0,9.6,407,11,330,3,2,0,10,7,60.0,15,7,12,22,60,1,25.0,12,7
Juma Bah,DF,Lens,fr Ligue 1,18.0,10,8,203,sl SLE,DF,fr Ligue 1,18.0,2006.0,7.6,0,0.2,9,203,sl SLE,DF,fr Ligue 1,18.0,2006.0,7.6,378,9,353,1,6,0,16,10,71.4,10,3,17,33,47,0,0.0,17,10
Eric Bailly,DF,Villarreal,es La Liga,30.0,12,8,205,ci CIV,DF,es La Liga,30.0,1994.0,6.9,0,0.0,18,205,ci CIV,DF,es La Liga,30.0,1994.0,6.9,320,11,280,1,1,0,12,4,75.0,12,6,6,18,29,0,0.0,6,4
Stefan Bajcetic,"MF,DF",Las Palmas,es La Liga,19.0,14,12,207,es ESP,"MF,DF",es La Liga,19.0,2004.0,10.8,0,0.2,39,207,es ESP,"MF,DF",es La Liga,19.0,2004.0,10.8,418,14,300,8,10,0,29,14,42.9,25,21,15,44,26,9,37.5,15,14
Mitchel Bakker,"FW,DF",Lille,fr Ligue 1,24.0,24,14,210,nl NED,"FW,DF",fr Ligue 1,24.0,2000.0,12.7,2,2.7,57,210,nl NED,"FW,DF",fr Ligue 1,24.0,2000.0,12.7,641,8,499,14,28,8,23,13,52.6,10,9,12,35,15,9,42.9,12,13
Darryl Bakola,"DF,MF",Marseille,fr Ligue 1,16.0,2,0,211,fr FRA,"DF,MF",fr Ligue 1,16.0,2007.0,0.2,0,0.0,0,211,fr FRA,"DF,MF",fr Ligue 1,16.0,2007.0,0.2,13,0,12,0,0,0,1,1,,0,0,0,1,0,1,100.0,0,1
Ridle Baku,"DF,MF",RB Leipzig,de Bundesliga,26.0,19,15,213,de GER,"DF,MF",de Bundesliga,26.0,1998.0,14.2,3,1.5,41,213,de GER,"DF,MF",de Bundesliga,26.0,1998.0,14.2,638,5,480,22,25,1,24,19,39.1,18,16,9,33,45,6,25.0,9,19
Dilane Bakwa,"MF,DF",Strasbourg,fr Ligue 1,21.0,30,29,214,fr FRA,"MF,DF",fr Ligue 1,21.0,2002.0,27.7,8,6.6,129,214,fr FRA,"MF,DF",fr Ligue 1,21.0,2002.0,27.7,1109,48,808,23,67,21,26,14,50.0,21,20,15,41,27,65,51.2,15,14
Alejandro Balde,DF,Barcelona,es La Liga,20.0,32,26,216,es ESP,DF,es La Liga,20.0,2003.0,25.4,4,3.4,93,216,es ESP,DF,es La Liga,20.0,2003.0,25.4,1484,32,1306,28,60,3,18,10,64.7,24,19,5,23,27,44,40.0,5,10
Leonardo Balerdi,DF,Marseille,fr Ligue 1,25.0,27,27,219,ar ARG,DF,fr Ligue 1,25.0,1999.0,25.3,0,0.7,105,219,ar ARG,DF,fr Ligue 1,25.0,1999.0,25.3,2516,44,2360,12,22,0,54,39,57.4,25,11,38,92,72,10,31.3,38,39
Iván Balliu,DF,Rayo Vallecano,es La Liga,32.0,25,12,220,al ALB,DF,es La Liga,32.0,1992.0,13.3,0,0.5,46,220,al ALB,DF,es La Liga,32.0,1992.0,13.3,649,12,492,20,14,3,17,14,33.3,16,12,13,30,39,1,16.7,13,14
Fodé Ballo-Touré,"DF,MF",Le Havre,fr Ligue 1,27.0,10,9,221,sn SEN,"DF,MF",fr Ligue 1,27.0,1997.0,6.5,0,0.1,13,221,sn SEN,"DF,MF",fr Ligue 1,27.0,1997.0,6.5,311,26,259,11,4,0,8,7,55.6,8,5,4,12,27,7,50.0,4,7
Botond Balogh,DF,Parma,it Serie A,22.0,29,23,222,hu HUN,DF,it Serie A,22.0,2002.0,22.8,1,0.1,37,222,hu HUN,DF,it Serie A,22.0,2002.0,22.8,964,43,861,8,7,0,36,16,71.4,34,8,25,61,141,0,,25,16
Abdoulaye Bamba,DF,Angers,fr Ligue 1,34.0,19,16,225,ci CIV,DF,fr Ligue 1,34.0,1990.0,16.8,0,0.3,16,225,ci CIV,DF,fr Ligue 1,34.0,1990.0,16.8,585,13,518,4,8,0,22,12,73.7,14,6,19,41,79,0,0.0,19,12
